market_regime,metric,strategy,sharpe_ratio,annual_return,volatility,max_drawdown
Bear / High Volatility,Best Strategy,Optimized Max Sharpe Portfolio,4.838331841854016,1.5552540303604814,0.3173106104628372,-0.08753259277622039
Bear / Low Volatility,Best Strategy,Benchmark (SPY),0.702510521860516,0.11570344078450656,0.1362306154946225,-0.10025040134587948
Bull / High Volatility,Best Strategy,Optimized Max Sharpe Portfolio,3.824873205384344,1.2645612701229814,0.32538628166052397,-0.14699293484356113
Bull / Low Volatility,Best Strategy,Benchmark (SPY),1.359805476783197,0.17600078890255766,0.11472287144452348,-0.06974245808159696
Crisis,Best Strategy,Benchmark (SPY),-0.6961173395914733,-0.14069483275054984,0.2308444620052935,-0.26905911405993344
Insufficient Data,Best Strategy,Optimized Max Sharpe Portfolio,-0.7714169406933417,-0.4031206738019685,0.5484980319743458,-0.243042430993463
Bear / High Volatility,Worst Strategy,Benchmark (SPY),4.1272700300359535,0.9227688250363129,0.21873267764562734,-0.05331025558569802
Bear / Low Volatility,Worst Strategy,Optimized Max Sharpe Portfolio,-0.3112372876202592,-0.049514979901054024,0.22335042318537776,-0.13004601309171637
Bull / High Volatility,Worst Strategy,Benchmark (SPY),2.513661043800125,0.5144396553643238,0.19670100572384072,-0.0855427717805598
Bull / Low Volatility,Worst Strategy,Optimized Max Sharpe Portfolio,1.1521545054147964,0.24006089489119042,0.19099946565930803,-0.10182099049245963
Crisis,Worst Strategy,Optimized Max Sharpe Portfolio,-1.086093282542157,-0.37658291396152155,0.3651462727338322,-0.5235693953888578
Insufficient Data,Worst Strategy,Benchmark (SPY),-1.2414215841738472,-0.6684604051935552,0.5545742187588258,-0.337172582793301
