market_regime,days,total_return,annual_return,volatility,sharpe_ratio,max_drawdown,strategy
Bear / High Volatility,93,0.413717317157563,1.5552540303604814,0.3173106104628372,4.838331841854016,-0.08753259277622039,Optimized Max Sharpe Portfolio
Bear / Low Volatility,63,-0.012615468628059734,-0.049514979901054024,0.22335042318537776,-0.3112372876202592,-0.13004601309171637,Optimized Max Sharpe Portfolio
Bull / High Volatility,248,1.23536994580593,1.2645612701229814,0.32538628166052397,3.824873205384344,-0.14699293484356113,Optimized Max Sharpe Portfolio
Bull / Low Volatility,291,0.2820484291359522,0.24006089489119042,0.19099946565930803,1.1521545054147964,-0.10182099049245963,Optimized Max Sharpe Portfolio
Crisis,248,-0.37188931443719275,-0.37658291396152155,0.3651462727338322,-1.086093282542157,-0.5235693953888578,Optimized Max Sharpe Portfolio
Insufficient Data,62,-0.11923312388977558,-0.4031206738019685,0.5484980319743458,-0.7714169406933417,-0.243042430993463,Optimized Max Sharpe Portfolio
Bear / High Volatility,93,0.27286577690978775,0.9227688250363129,0.21873267764562734,4.1272700300359535,-0.05331025558569802,Benchmark (SPY)
Bear / Low Volatility,63,0.027749308169832565,0.11570344078450656,0.1362306154946225,0.702510521860516,-0.10025040134587948,Benchmark (SPY)
Bull / High Volatility,248,0.5044952835568524,0.5144396553643238,0.19670100572384072,2.513661043800125,-0.0855427717805598,Benchmark (SPY)
Bull / Low Volatility,291,0.20587982539765148,0.17600078890255766,0.11472287144452348,1.359805476783197,-0.06974245808159696,Benchmark (SPY)
Crisis,248,-0.13862412847846917,-0.14069483275054984,0.2308444620052935,-0.6961173395914733,-0.26905911405993344,Benchmark (SPY)
Insufficient Data,62,-0.23785696010858137,-0.6684604051935552,0.5545742187588258,-1.2414215841738472,-0.337172582793301,Benchmark (SPY)
